name,logo_src,location,type,avg_tuition_annually,avg_tuition_after_aid,avg_aid_pack,grad_rate,address,phone_number,website,application_link,acceptance_rate,reg_app_due_date,SAT_range,ACT_range,required_GPA,required_rank,required_ACT_SAT,student_to_faculty_ratio,retention_rate_majors_avail,financial_aid_app_due_date,avg_housing_cost,undergrad_pop,campus_life,majors_available
Wongu University Of Oriental Medicine,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Las Vegas, NV",4-year • Private,Not available,Not available,Not available,Not available,"8620 S Eastern Ave, Las Vegas, NV 89123",Phone number not available,wongu.edu,https://www.wongu.edu/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Urban,1
Won Institute Of Graduate Studies,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Warminster, PA",4-year • Private,Not available,Not available,Not available,Not available,"800 Jacksonville Rd, Warminster, PA 18974",Phone number not available,woninstitute.edu/admissions,https://www.woninstitute.edu/admissions/apply-now/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,5
Wofford College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F363_Logo.gif&w=3840&q=75,"Spartanburg, SC",4-year • Private,$31K,"$31,192","$51,642",83%,"429 N Church St, Spartanburg, SC 29303",,wofford.edu,https://www.wofford.edu/admission/apply,60%,January 15,1220–1340*,27–31*,Required,Recommended,Considered if submitted,12:1,90%,July 1,"$16,220","1,874",Small • Urban,32
Wittenberg University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3946_Logo.gif&w=3840&q=75,"Springfield, OH",4-year • Private,$23K,"$22,912","$42,114",57%,"200 W Ward St, Springfield, OH 45504",,wittenberg.edu,https://www.wittenberg.edu/admission/apply,72%,August 1,1020–1270*,21–28*,Required,Recommended,Considered if submitted,12:1,63%,Not available,"$11,966","1,215",Small • Suburban,42
Wisconsin Lutheran College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4473_Logo.gif&w=3840&q=75,"Milwaukee, WI",4-year • Private,$23K,"$22,682","$26,994",67%,"8800 W Bluemound Rd, Milwaukee, WI 53226",,wlc.edu,https://admissions.wlc.edu/apply/,79%,Not available,1048–1230*,22–28*,Required,Neither required nor recommended,Recommended,11:1,79%,Not available,"$12,250",984,Small • Suburban,57
Wiregrass Georgia Technical College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F203835_Logo.gif&w=3840&q=75,"Valdosta, GA",2-year • Public,$5K,"$4,914",Not available,Not available,"4089 Val Tech Rd, Valdosta, GA 31602",,wiregrass.edu,https://mywiregrass.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Base__Portal,100%,September 26,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Considered if submitted,14:1,66%,September 28,Not available,31,Small • Rural,95
Winthrop University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F362_Logo.gif&w=3840&q=75,"Rock Hill, SC",4-year • Public,$17K,"$17,008","$17,890",61%,"701 Oakland Ave, Rock Hill, SC 29733",,winthrop.edu,https://apply.winthrop.edu/apply,75%,Not available,1010–1210*,20–26*,Required,Neither required nor recommended,Required,12:1,73%,October 1,"$12,994","3,424",Medium • Suburban,66
Winston-Salem State University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F361_Logo.gif&w=3840&q=75,"Winston Salem, NC",4-year • Public,$14K,"$14,097",Not available,50%,"601 Martin Luther King Jr Dr, Winston Salem, NC 27110",,wssu.edu,https://www.wssu.edu/admissions/apply/index.html,72%,Not available,920–1020*,15–19*,Required,Required,Required,15:1,77%,June 30,"$11,484","4,560",Medium • Urban,45
Winston Salem Barber School,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Winston Salem, NC",Less than 2-year • Career and Technical,$8K,"$7,522",Not available,Not available,"1531 Silas Creek Pkwy, Winston Salem, NC 27127",Phone number not available,,,,,,,Not available,Not available,Not available,22:1,40%,Not available,Not available,Not available,Urban,1
Winonahs International School Of Cosmetology,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Hoover, AL",Less than 2-year • Career and Technical,$16K,"$16,069",Not available,Not available,"1870 Chace Drive, Hoover, AL 35244",Phone number not available,winonah.net,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,10:1,67%,Not available,Not available,Not available,Urban,4
Winona State University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F411_Logo.gif&w=3840&q=75,"Winona, MN",4-year • Public,$18K,"$18,187","$9,390",59%,"170 W Sanborn St, Winona, MN 55987",,winona.edu,https://www.winona.edu/apply/,69%,July 13,970–1230*,19–25*,Required,Considered but not required,Considered if submitted,16:1,76%,Not available,"$9,924","5,095",Medium • Urban,97
Wingate University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F360_Logo.gif&w=3840&q=75,"Wingate, NC",4-year • Private,$19K,"$18,823","$37,727",57%,"315 E Wilson St, Wingate, NC 28174",,wingate.edu,https://www.wingate.edu/academics/wayfind/apply,86%,Not available,970–1210*,18–24*,Required,Considered but not required,Considered if submitted,15:1,67%,March 1,"$11,062","2,462",Small • Suburban,45
Wilson Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F386_Logo.gif&w=3840&q=75,"Wilson, NC",2-year • Public,$8K,"$8,322",Not available,Not available,"902 Herring Ave E, Wilson, NC 27893",Phone number not available,wilsoncc.edu,https://www.wilsoncc.edu/apply-now/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,8:1,62%,Not available,Not available,Not available,Rural,26
Wilson College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3175_Logo.gif&w=3840&q=75,"Chambersburg, PA",4-year • Private,$24K,"$23,923","$24,204",50%,"1015 Philadelphia Ave, Chambersburg, PA 17201",,wilson.edu,https://www.wilson.edu/apply,94%,Not available,970–1120*,26–26*,Required,Considered but not required,Required for some,13:1,69%,Not available,"$12,296",635,Small • Rural,42
Wilmington University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F381_Logo.gif&w=3840&q=75,"New Castle, DE",4-year • Private,$14K,"$14,089",Not available,20%,"320 N Dupont Hwy, New Castle, DE 19720",Phone number not available,wilmu.edu,https://www.wilmu.edu/admission/applyonline.aspx,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,12:1,56%,Not available,Not available,Not available,Suburban,80
Wilmington College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1357_Logo.gif&w=3840&q=75,"Wilmington, OH",4-year • Private,$25K,"$24,528",Not available,51%,"1870 Quaker Way, Wilmington, OH 45177",,wilmington.edu,https://www.applyweb.com/wilmngtn/index.ftl,73%,Not available,940–1200*,18–24*,Required,Considered but not required,Required,13:1,65%,Not available,"$11,923",Not available,Rural,33
Williston State College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2524_Logo.gif&w=3840&q=75,"Williston, ND",2-year • Public,$9K,"$9,149","$8,657",Not available,"1410 University Ave, Williston, ND 58801",Phone number not available,willistonstate.edu,https://www.willistonstate.edu/admissions/how-to-apply/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,20:1,60%,Not available,"$9,205",789,Small • Rural,24
Williamson College of the Trades,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3182_Logo.gif&w=3840&q=75,"Media, PA",4-year • Private,$1K,"$1,317","$36,500",Not available,"106 S New Middletown Rd, Media, PA 19063",Phone number not available,williamson.edu,https://www.williamson.edu/admissions/,30%,January 17,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,11:1,83%,April 30,"$5,000",313,Small • Suburban,5
Williamson College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4625_Logo.gif&w=3840&q=75,"Franklin, TN",4-year • Private,$10K,"$10,299",Not available,33%,"274 Mallory Station Rd, Franklin, TN 37067",Phone number not available,williamsoncc.edu,https://williamsoncollege.wufoo.com/forms/williamson-college-undergraduate-application/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,7:1,100%,Not available,Not available,Not available,Suburban,3
Williamsburg Technical College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2272_Logo.gif&w=3840&q=75,"Kingstree, SC",2-year • Public,$7K,"$7,358",Not available,Not available,"601 Martin Luther King Ave, Kingstree, SC 29556",Phone number not available,wiltech.edu,https://hipaa.jotform.com/201105817461144,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,9:1,45%,Not available,Not available,Not available,Rural,22
Williams College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4118_Logo.gif&w=3840&q=75,"Williamstown, MA",4-year • Private,$21K,"$20,965","$70,763",95%,"995 Main St, Williamstown, MA 01267",,williams.edu,https://www.williams.edu/admission-aid/apply/apply-now/,10%,January 8,1480–1550*,33–35*,Required,Required,Considered if submitted,7:1,97%,January 6,"$17,260","2,055",Small • Rural,41
Williams Baptist University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F70_Logo.gif&w=3840&q=75,"Walnut Ridge, AR",4-year • Private,$14K,"$14,488",Not available,45%,"60 West Fulbright Avenue, Walnut Ridge, AR 72476",,williamsbu.edu,https://williamsbu.edu/application/,64%,Not available,Not available*,19–24*,Required,Recommended,Required,16:1,21%,Not available,"$4,490",593,Small • Rural,20
William Woods University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2533_Logo.gif&w=3840&q=75,"Fulton, MO",4-year • Private,$23K,"$23,363",Not available,55%,"1 University Ave, Fulton, MO 65251",,williamwoods.edu,https://williamwoods.secure.force.com/form?formid=217793&nav=top,68%,Not available,Not available*,Not available*,Required,Recommended,Considered if submitted,10:1,67%,Not available,"$11,600",725,Small • Rural,48
William R Moore College Of Technology,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Memphis, TN",Private,$15K,"$15,143",Not available,Not available,"1200 Poplar Ave, Memphis, TN 38104",Phone number not available,mooretech.edu/admissions,https://www.mooretech.edu/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,11:1,65%,Not available,Not available,Not available,Urban,7
William Penn University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2532_Logo.gif&w=3840&q=75,"Oskaloosa, IA",4-year • Private,$21K,"$20,922",Not available,30%,"201 Trueblood Ave, Oskaloosa, IA 52577",,wmpenn.edu,https://application.wmpenn.edu/,52%,August 25,830–1020*,16–22*,Recommended,Considered but not required,Considered if submitted,15:1,58%,July 1,"$8,618","1,301",Small • Rural,59
William Peace University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3075_Logo.gif&w=3840&q=75,"Raleigh, NC",4-year • Private,$23K,"$23,041","$30,160",43%,"15 E Peace St, Raleigh, NC 27604",,peace.edu,https://www.peace.edu/admissions/apply/,94%,Not available,1095–1205*,22–27*,Required,Neither required nor recommended,Considered if submitted,13:1,74%,Not available,"$12,606",666,Small • Urban,37
William Paterson University of New Jersey,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F908_Logo.gif&w=3840&q=75,"Wayne, NJ",4-year • Public,$13K,"$12,967","$16,012",56%,"300 Pompton Rd, Wayne, NJ 07470",,wpunj.edu,https://wpunj.edu/admissions/undergraduate/apply.html,90%,June 1,Not available*,Not available*,Required,Neither required nor recommended,Considered if submitted,16:1,73%,May 1,"$12,640","6,614",Medium • Suburban,110
William Jewell College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2530_Logo.gif&w=3840&q=75,"Liberty, MO",4-year • Private,$20K,"$20,108","$21,042",62%,"500 College Hl, Liberty, MO 64068",,jewell.edu,https://www.jewell.edu/join/apply,34%,July 31,1000–1120*,19–25*,Required,Recommended,Considered if submitted,10:1,77%,April 1,"$11,230",824,Small • Suburban,47
William Jessup University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3473_Logo.gif&w=3840&q=75,"Rocklin, CA",4-year • Private,$28K,"$27,591","$23,183",52%,"2121 University Ave, Rocklin, CA 95765",,jessup.edu,https://www.jessup.edu/apply,77%,August 20,1205–1275*,24–27*,Required,Neither required nor recommended,Considered if submitted,9:1,69%,August 27,"$13,606","1,056",Small • Suburban,33
William Carey University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1355_Logo.gif&w=3840&q=75,"Hattiesburg, MS",4-year • Private,$15K,"$15,271",Not available,42%,"710 William Carey Pkwy, Hattiesburg, MS 39401",Phone number not available,wmcarey.edu,https://indigo.wmcarey.edu/Prospects/application/,55%,Not available,960–1170*,20–28*,Required,Neither required nor recommended,Required,13:1,100%,Not available,"$4,840","1,785",Small • Suburban,61
